channel,week_start_date,weekly_spend,weekly_revenue,roas
Affiliate,2024-01-01,1348.97,4066.7299999999996,3.01
Affiliate,2024-01-08,560.28,1868.3899999999999,3.33
Affiliate,2024-01-15,1098.1200000000001,4001.69,3.64
Affiliate,2024-01-22,581.55,1769.93,3.04
Affiliate,2024-01-29,1061.65,2903.34,2.73
Affiliate,2024-02-05,551.9000000000001,1299.06,2.35
Affiliate,2024-02-12,1239.5,3244.62,2.62
Affiliate,2024-02-19,734.9,2344.2,3.19
Affiliate,2024-02-26,1298.37,4467.29,3.44
Affiliate,2024-03-04,1085.15,3015.38,2.78
Affiliate,2024-03-11,574.1800000000001,1394.6399999999999,2.43
Affiliate,2024-03-18,1167.8200000000002,3874.3199999999997,3.32
Affiliate,2024-03-25,913.75,2802.74,3.07
Affiliate,2024-04-01,1414.1100000000001,4570.1,3.23
Affiliate,2024-04-08,1466.48,3959.2799999999997,2.7
Affiliate,2024-04-15,1242.47,4236.83,3.41
Affiliate,2024-04-22,619.45,1878.0700000000002,3.03
Affiliate,2024-04-29,1201.94,3329.2200000000003,2.77
Affiliate,2024-05-06,1557.5700000000002,4543.12,2.92
Affiliate,2024-05-13,820.54,2555.79,3.11
Affiliate,2024-05-20,1526.67,4306.49,2.82
Affiliate,2024-05-27,1311.1799999999998,3647.2200000000003,2.78
Affiliate,2024-06-03,770.47,1964.0700000000002,2.55
Affiliate,2024-06-10,1578.3000000000002,4002.1400000000003,2.54
Affiliate,2024-06-17,1293.1999999999998,3332.71,2.58
Affiliate,2024-06-24,1431.6399999999999,3600.6000000000004,2.52
Affiliate,2024-07-01,790.98,2302.09,2.91
Affiliate,2024-07-08,1509.8200000000002,4408.51,2.92
Affiliate,2024-07-15,691.13,1892.29,2.74
Affiliate,2024-07-22,1162.8400000000001,3560.33,3.06
Affiliate,2024-07-29,1205.78,3810.3500000000004,3.16
Affiliate,2024-08-05,537.97,1369.7800000000002,2.55
Affiliate,2024-08-12,820.32,2466.27,3.01
Affiliate,2024-08-19,1176.74,4055.9700000000003,3.45
Affiliate,2024-08-26,938.5,2799.17,2.98
Affiliate,2024-09-02,896.4000000000001,2616.69,2.92
Affiliate,2024-09-09,1259.24,3461.98,2.75
Affiliate,2024-09-16,953.69,2359.0,2.47
Affiliate,2024-09-23,884.19,2927.65,3.31
Affiliate,2024-09-30,690.21,1869.04,2.71
Affiliate,2024-10-07,1226.18,3495.46,2.85
Affiliate,2024-10-14,689.29,2083.69,3.02
Affiliate,2024-10-21,944.38,2887.3100000000004,3.06
Affiliate,2024-10-28,776.76,2552.5,3.29
Affiliate,2024-11-04,854.28,2310.77,2.7
Affiliate,2024-11-11,1562.56,4282.83,2.74
Affiliate,2024-11-18,1786.4900000000002,4834.05,2.71
Affiliate,2024-11-25,1152.71,2832.2299999999996,2.46
Affiliate,2024-12-02,1365.2,3493.37,2.56
Affiliate,2024-12-09,1249.82,4936.55,3.95
Affiliate,2024-12-16,1384.9099999999999,4306.33,3.11
Affiliate,2024-12-23,1430.15,4156.360000000001,2.91
Affiliate,2024-12-30,1904.21,6067.18,3.19
Display,2024-01-01,1440.81,1693.8700000000001,1.18
Display,2024-01-08,1084.3,1482.73,1.37
Display,2024-01-15,1723.5100000000002,2184.02,1.27
Display,2024-01-22,1180.69,1266.29,1.07
Display,2024-01-29,1197.95,2070.24,1.73
Display,2024-02-05,1138.06,1861.42,1.64
Display,2024-02-12,1864.1200000000001,2387.46,1.28
Display,2024-02-19,889.52,1362.2,1.53
Display,2024-02-26,2065.41,3136.93,1.52
Display,2024-03-04,1238.31,1324.78,1.07
Display,2024-03-11,1303.63,1259.4,0.97
Display,2024-03-18,1685.78,2143.35,1.27
Display,2024-03-25,1167.46,1855.6100000000001,1.59
Display,2024-04-01,1186.6799999999998,1337.97,1.13
Display,2024-04-08,1742.9299999999998,2073.17,1.19
Display,2024-04-15,1606.54,1906.19,1.19
Display,2024-04-22,1488.48,2464.29,1.66
Display,2024-04-29,1370.0900000000001,2303.7799999999997,1.68
Display,2024-05-06,1787.99,2717.01,1.52
Display,2024-05-13,1060.63,1597.6999999999998,1.51
Display,2024-05-20,1832.24,3375.2,1.84
Display,2024-05-27,1107.5300000000002,2023.67,1.83
Display,2024-06-03,1620.5900000000001,1153.42,0.71
Display,2024-06-10,1107.5900000000001,2219.6800000000003,2.0
Display,2024-06-17,1500.3200000000002,1793.8200000000002,1.2
Display,2024-06-24,1414.82,1361.15,0.96
Display,2024-07-01,1646.85,2668.56,1.62
Display,2024-07-08,893.75,727.94,0.81
Display,2024-07-15,1439.2199999999998,1622.71,1.13
Display,2024-07-22,1430.3,2458.69,1.72
Display,2024-07-29,715.6700000000001,1131.02,1.58
Display,2024-08-05,1109.83,1082.75,0.98
Display,2024-08-12,2036.6,2085.37,1.02
Display,2024-08-19,1086.58,1606.26,1.48
Display,2024-08-26,1308.28,1019.26,0.78
Display,2024-09-02,1711.74,2742.44,1.6
Display,2024-09-09,1138.96,1714.33,1.51
Display,2024-09-16,1701.95,2709.94,1.59
Display,2024-09-23,1625.77,2440.71,1.5
Display,2024-09-30,1636.65,2613.67,1.6
Display,2024-10-07,1391.33,2433.94,1.75
Display,2024-10-14,1237.75,1177.53,0.95
Display,2024-10-21,1238.36,1471.56,1.19
Display,2024-10-28,1539.4299999999998,2000.98,1.3
Display,2024-11-04,2253.2,4068.5099999999998,1.81
Display,2024-11-11,2241.5299999999997,3152.58,1.41
Display,2024-11-18,2972.08,3697.72,1.24
Display,2024-11-25,2039.6299999999999,2091.12,1.03
Display,2024-12-02,1612.1000000000001,1737.73,1.08
Display,2024-12-09,1923.5900000000001,2673.9399999999996,1.39
Display,2024-12-16,2410.99,2984.59,1.24
Display,2024-12-23,1852.67,2033.21,1.1
Display,2024-12-30,834.53,1150.42,1.38
Email,2024-01-01,281.37,1740.43,6.19
Email,2024-01-08,356.36,2043.54,5.73
Email,2024-01-15,253.33,1741.08,6.87
Email,2024-01-22,178.6,813.62,4.56
Email,2024-01-29,392.09000000000003,2331.91,5.95
Email,2024-02-05,386.15999999999997,2017.03,5.22
Email,2024-02-12,364.95,2122.08,5.81
Email,2024-02-19,344.48,2436.55,7.07
Email,2024-02-26,451.03,2724.01,6.04
Email,2024-03-04,401.31,2021.41,5.04
Email,2024-03-11,232.11,1050.17,4.52
Email,2024-03-18,484.38,2288.77,4.73
Email,2024-03-25,171.17000000000002,897.8199999999999,5.25
Email,2024-04-01,270.02,1304.56,4.83
Email,2024-04-08,436.78,2630.76,6.02
Email,2024-04-15,559.44,2783.2799999999997,4.98
Email,2024-04-22,342.88,1807.78,5.27
Email,2024-04-29,335.90999999999997,1798.96,5.36
Email,2024-05-06,394.2,2386.71,6.05
Email,2024-05-13,344.07000000000005,1481.52,4.31
Email,2024-05-20,315.33,1845.42,5.85
Email,2024-05-27,220.88,1294.32,5.86
Email,2024-06-03,498.65,2620.98,5.26
Email,2024-06-10,389.2,1419.58,3.65
Email,2024-06-17,347.94,1762.25,5.06
Email,2024-06-24,326.24,1464.1499999999999,4.49
Email,2024-07-01,425.99,2396.01,5.62
Email,2024-07-08,569.4000000000001,3442.51,6.05
Email,2024-07-15,393.3,1704.88,4.33
Email,2024-07-22,256.19,1376.42,5.37
Email,2024-07-29,190.76999999999998,1121.9,5.88
Email,2024-08-05,440.18,2137.59,4.86
Email,2024-08-12,471.25,2580.48,5.48
Email,2024-08-19,247.55,1558.62,6.3
Email,2024-08-26,286.98,1560.46,5.44
Email,2024-09-02,440.03,1898.77,4.32
Email,2024-09-09,483.23,3547.71,7.34
Email,2024-09-16,387.39,2313.08,5.97
Email,2024-09-23,436.54,2383.62,5.46
Email,2024-09-30,419.75,1835.53,4.37
Email,2024-10-07,233.98,1373.83,5.87
Email,2024-10-14,411.78000000000003,2266.11,5.5
Email,2024-10-21,531.23,3605.21,6.79
Email,2024-10-28,330.76,1758.7199999999998,5.32
Email,2024-11-04,453.19,2121.36,4.68
Email,2024-11-11,506.13,2728.67,5.39
Email,2024-11-18,574.89,3284.46,5.71
Email,2024-11-25,266.36,1239.27,4.65
Email,2024-12-02,514.47,2189.69,4.26
Email,2024-12-09,518.8299999999999,2521.29,4.86
Email,2024-12-16,552.95,3300.49,5.97
Email,2024-12-23,349.45,2163.55,6.19
Email,2024-12-30,472.69,2707.99,5.73
Organic/SEO,2024-01-01,460.76,2806.61,6.09
Organic/SEO,2024-01-08,519.01,3012.44,5.8
Organic/SEO,2024-01-15,553.52,2802.62,5.06
Organic/SEO,2024-01-22,639.8399999999999,4182.12,6.54
Organic/SEO,2024-01-29,555.12,3597.94,6.48
Organic/SEO,2024-02-05,469.13,2917.51,6.22
Organic/SEO,2024-02-12,463.41,3038.2999999999997,6.56
Organic/SEO,2024-02-19,542.73,3204.05,5.9
Organic/SEO,2024-02-26,649.3599999999999,3890.3399999999997,5.99
Organic/SEO,2024-03-04,593.8100000000001,4200.85,7.07
Organic/SEO,2024-03-11,686.71,4150.09,6.04
Organic/SEO,2024-03-18,367.2,2021.18,5.5
Organic/SEO,2024-03-25,586.71,3187.42,5.43
Organic/SEO,2024-04-01,443.35,2894.48,6.53
Organic/SEO,2024-04-08,404.22,2068.42,5.12
Organic/SEO,2024-04-15,448.72,2633.02,5.87
Organic/SEO,2024-04-22,579.41,2273.52,3.92
Organic/SEO,2024-04-29,634.18,4406.31,6.95
Organic/SEO,2024-05-06,487.02,2766.27,5.68
Organic/SEO,2024-05-13,534.8199999999999,3572.29,6.68
Organic/SEO,2024-05-20,478.99,3078.16,6.43
Organic/SEO,2024-05-27,356.89,1861.1100000000001,5.21
Organic/SEO,2024-06-03,326.32,2097.05,6.43
Organic/SEO,2024-06-10,507.57,3105.9,6.12
Organic/SEO,2024-06-17,473.23,3184.1,6.73
Organic/SEO,2024-06-24,362.06,2687.42,7.42
Organic/SEO,2024-07-01,427.62,2766.46,6.47
Organic/SEO,2024-07-08,316.17,2070.56,6.55
Organic/SEO,2024-07-15,520.29,3668.62,7.05
Organic/SEO,2024-07-22,568.86,3192.12,5.61
Organic/SEO,2024-07-29,614.3,3906.0699999999997,6.36
Organic/SEO,2024-08-05,510.13,3354.99,6.58
Organic/SEO,2024-08-12,272.45000000000005,1822.7199999999998,6.69
Organic/SEO,2024-08-19,722.98,4290.26,5.93
Organic/SEO,2024-08-26,585.58,2920.64,4.99
Organic/SEO,2024-09-02,665.79,4856.67,7.29
Organic/SEO,2024-09-09,426.84000000000003,3151.52,7.38
Organic/SEO,2024-09-16,602.73,4173.35,6.92
Organic/SEO,2024-09-23,411.38,3119.8599999999997,7.58
Organic/SEO,2024-09-30,627.36,4623.38,7.37
Organic/SEO,2024-10-07,457.42999999999995,3176.6,6.94
Organic/SEO,2024-10-14,761.3199999999999,4798.48,6.3
Organic/SEO,2024-10-21,392.1,2505.24,6.39
Organic/SEO,2024-10-28,476.69,2762.8900000000003,5.8
Organic/SEO,2024-11-04,947.51,6046.45,6.38
Organic/SEO,2024-11-11,501.62,4387.62,8.75
Organic/SEO,2024-11-18,670.8900000000001,3524.92,5.25
Organic/SEO,2024-11-25,803.4000000000001,4930.52,6.14
Organic/SEO,2024-12-02,437.24,2696.55,6.17
Organic/SEO,2024-12-09,821.48,5187.07,6.31
Organic/SEO,2024-12-16,770.4200000000001,5354.15,6.95
Organic/SEO,2024-12-23,480.58,3336.14,6.94
Organic/SEO,2024-12-30,609.49,4233.74,6.95
Paid Search,2024-01-01,6004.65,18828.12,3.14
Paid Search,2024-01-08,6359.88,17942.17,2.82
Paid Search,2024-01-15,5117.860000000001,14139.060000000001,2.76
Paid Search,2024-01-22,4076.87,14390.89,3.53
Paid Search,2024-01-29,3882.83,12896.83,3.32
Paid Search,2024-02-05,4358.900000000001,10403.5,2.39
Paid Search,2024-02-12,5682.8,17591.03,3.1
Paid Search,2024-02-19,6453.570000000001,23745.55,3.68
Paid Search,2024-02-26,5344.629999999999,16961.04,3.17
Paid Search,2024-03-04,5291.709999999999,18885.64,3.57
Paid Search,2024-03-11,6675.93,19444.01,2.91
Paid Search,2024-03-18,4917.26,18001.52,3.66
Paid Search,2024-03-25,5564.67,15358.3,2.76
Paid Search,2024-04-01,5607.24,16664.170000000002,2.97
Paid Search,2024-04-08,4708.01,14767.08,3.14
Paid Search,2024-04-15,5093.889999999999,17862.8,3.51
Paid Search,2024-04-22,5120.83,19040.440000000002,3.72
Paid Search,2024-04-29,4705.35,14290.36,3.04
Paid Search,2024-05-06,5141.32,16289.300000000001,3.17
Paid Search,2024-05-13,4824.09,15998.55,3.32
Paid Search,2024-05-20,5616.63,16622.34,2.96
Paid Search,2024-05-27,3673.47,15182.79,4.13
Paid Search,2024-06-03,6178.950000000001,16537.58,2.68
Paid Search,2024-06-10,5185.17,13268.21,2.56
Paid Search,2024-06-17,6526.880000000001,21517.010000000002,3.3
Paid Search,2024-06-24,4395.24,13799.19,3.14
Paid Search,2024-07-01,3681.76,12050.61,3.27
Paid Search,2024-07-08,3519.44,10011.27,2.84
Paid Search,2024-07-15,5809.88,18429.83,3.17
Paid Search,2024-07-22,4966.65,16921.87,3.41
Paid Search,2024-07-29,5018.99,15233.810000000001,3.04
Paid Search,2024-08-05,4864.36,16370.93,3.37
Paid Search,2024-08-12,6901.65,24096.94,3.49
Paid Search,2024-08-19,4871.68,20066.4,4.12
Paid Search,2024-08-26,5129.8,16229.869999999999,3.16
Paid Search,2024-09-02,5518.74,17636.75,3.2
Paid Search,2024-09-09,6120.25,19750.24,3.23
Paid Search,2024-09-16,5172.6,13481.48,2.61
Paid Search,2024-09-23,5059.8,15318.87,3.03
Paid Search,2024-09-30,5328.21,15413.73,2.89
Paid Search,2024-10-07,3880.31,10613.43,2.74
Paid Search,2024-10-14,4680.83,17733.0,3.79
Paid Search,2024-10-21,4803.75,15959.830000000002,3.32
Paid Search,2024-10-28,5798.12,17901.129999999997,3.09
Paid Search,2024-11-04,7671.69,20627.579999999998,2.69
Paid Search,2024-11-11,7746.900000000001,24363.11,3.14
Paid Search,2024-11-18,8807.28,29046.69,3.3
Paid Search,2024-11-25,5557.549999999999,16565.74,2.98
Paid Search,2024-12-02,4930.59,18209.98,3.69
Paid Search,2024-12-09,6523.98,18428.739999999998,2.82
Paid Search,2024-12-16,4718.719999999999,17922.489999999998,3.8
Paid Search,2024-12-23,7261.92,23082.690000000002,3.18
Paid Search,2024-12-30,5330.53,17163.73,3.22
Paid Social,2024-01-01,3451.9399999999996,8087.71,2.34
Paid Social,2024-01-08,3193.96,6668.48,2.09
Paid Social,2024-01-15,4177.04,10168.470000000001,2.43
Paid Social,2024-01-22,5028.67,14735.36,2.93
