month,channel,total_spend,total_revenue,roas,roi_pct
2024-01,Email,1461.75,8670.58,5.93,493.16
2024-01,Display,6627.26,8697.15,1.31,31.23
2024-01,Organic/SEO,2728.25,16401.73,6.01,501.18
2024-01,Paid Social,19835.84,50223.63,2.53,153.2
2024-01,Affiliate,4650.57,14610.08,3.14,214.16
2024-01,Paid Search,25442.09,78197.07,3.07,207.35
2024-02,Paid Search,21839.9,68701.12,3.15,214.57
2024-02,Affiliate,3824.67,11355.17,2.97,196.89
2024-02,Display,5957.11,8748.01,1.47,46.85
2024-02,Email,1546.62,9299.67,6.01,501.29
2024-02,Paid Social,15175.61,35485.82,2.34,133.83
2024-02,Organic/SEO,2124.63,13050.2,6.14,514.23
2024-03,Display,5395.18,6583.14,1.22,22.02
2024-03,Organic/SEO,2234.43,13559.54,6.07,506.85
2024-03,Email,1288.97,6258.17,4.86,385.52
2024-03,Paid Search,22449.57,71689.47,3.19,219.34
2024-03,Paid Social,16570.39,44427.04,2.68,168.11
2024-03,Affiliate,3740.9,11087.08,2.96,196.37
2024-04,Organic/SEO,2509.88,14275.75,5.69,468.78
2024-04,Paid Social,21875.08,49715.87,2.27,127.27
2024-04,Display,7394.72,10085.4,1.36,36.39
2024-04,Affiliate,5944.45,17973.5,3.02,202.36
2024-04,Email,1945.03,10325.34,5.31,430.86
2024-04,Paid Search,25235.32,82624.85,3.27,227.42
2024-05,Display,5788.39,9713.58,1.68,67.81
2024-05,Organic/SEO,1857.72,11277.83,6.07,507.08
2024-05,Paid Social,15311.45,38074.91,2.49,148.67
2024-05,Email,1274.48,7007.97,5.5,449.87
2024-05,Affiliate,5215.96,15052.62,2.89,188.59
2024-05,Paid Search,19255.51,64092.98,3.33,232.86
2024-06,Email,1562.03,7266.96,4.65,365.23
2024-06,Paid Social,16112.56,36994.6,2.3,129.6
2024-06,Display,5643.32,6528.07,1.16,15.68
2024-06,Organic/SEO,1669.18,11074.47,6.63,563.47
2024-06,Paid Search,22286.24,65121.99,2.92,192.21
2024-06,Affiliate,5073.61,12899.52,2.54,154.25
2024-07,Email,1835.65,10041.72,5.47,447.04
2024-07,Paid Search,22996.72,72647.39,3.16,215.9
2024-07,Organic/SEO,2447.24,15603.83,6.38,537.61
2024-07,Paid Social,21490.12,51085.64,2.38,137.72
2024-07,Affiliate,5360.55,15973.57,2.98,197.98
2024-07,Display,6125.79,8608.92,1.41,40.54
2024-08,Organic/SEO,2091.14,12388.61,5.92,492.43
2024-08,Display,5541.29,5793.64,1.05,4.55
2024-08,Affiliate,3473.53,10691.19,3.08,207.79
2024-08,Paid Social,16526.51,36079.87,2.18,118.32
2024-08,Email,1445.96,7837.15,5.42,442.0
2024-08,Paid Search,21767.49,76764.14,3.53,252.65
2024-09,Paid Social,20235.89,49706.62,2.46,145.64
2024-09,Email,2166.94,11978.71,5.53,452.79
2024-09,Paid Search,27199.6,81601.07,3.0,200.01
2024-09,Display,7815.07,12221.09,1.56,56.38
2024-09,Affiliate,4683.73,13234.36,2.83,182.56
2024-09,Organic/SEO,2734.1,19924.78,7.29,628.75
2024-10,Paid Social,17883.01,46365.72,2.59,159.27
2024-10,Organic/SEO,2087.54,13243.21,6.34,534.39
2024-10,Email,1507.75,9003.87,5.97,497.17
2024-10,Paid Search,19163.01,62207.39,3.25,224.62
2024-10,Display,5406.87,7084.01,1.31,31.02
2024-10,Affiliate,3636.61,11018.96,3.03,203.0
2024-11,Display,9506.44,13009.93,1.37,36.85
2024-11,Organic/SEO,2923.42,18889.51,6.46,546.14
2024-11,Paid Social,18990.46,41804.21,2.2,120.13
2024-11,Email,1800.57,9373.76,5.21,420.6
2024-11,Paid Search,29783.42,90603.12,3.04,204.21
2024-11,Affiliate,5356.04,14259.88,2.66,166.24
2024-12,Affiliate,7334.29,22959.79,3.13,213.05
2024-12,Paid Search,28765.74,94807.63,3.3,229.59
2024-12,Display,8633.88,10579.89,1.23,22.54
2024-12,Organic/SEO,3119.21,20807.65,6.67,567.08
2024-12,Email,2408.39,12883.01,5.35,434.92
2024-12,Paid Social,24193.82,58557.0,2.42,142.03
