week_start_date,channel,campaign,impressions,clicks,conversions,spend,revenue,roas,roi_pct
2024-01-01,Affiliate,Affiliate - Partner A,9064,293,12,750.85,2414.47,3.216,221.56
2024-01-01,Affiliate,Affiliate - Partner B,31591,897,38,598.12,1652.26,2.762,176.24
2024-01-01,Display,Display - Banner,40186,722,30,970.29,1103.64,1.137,13.74
2024-01-01,Display,Display - Native,19935,258,14,470.52,590.23,1.254,25.44
2024-01-01,Email,Email - Newsletter,1597,53,1,159.29,962.61,6.043,504.31
2024-01-01,Email,Email - Promo,13586,163,1,122.08,777.82,6.371,537.14
2024-01-01,Organic/SEO,SEO - Blog,40614,990,48,269.57,1643.88,6.098,509.82
2024-01-01,Organic/SEO,SEO - Landing Pages,75296,942,36,191.19,1162.73,6.082,508.15
2024-01-01,Paid Search,Search - Brand,23599,694,11,2115.73,5670.17,2.68,168.0
2024-01-01,Paid Search,Search - Competitor,17901,605,24,1430.36,5133.41,3.589,258.89
2024-01-01,Paid Search,Search - Generic,92049,873,36,2458.56,8024.54,3.264,226.39
2024-01-01,Paid Social,Social - Lookalike,190574,1982,114,872.49,2372.64,2.719,171.94
2024-01-01,Paid Social,Social - Prospecting,53581,1820,98,918.13,2406.65,2.621,162.13
2024-01-01,Paid Social,Social - Retargeting,13431,487,31,1661.32,3308.42,1.991,99.14
2024-01-08,Affiliate,Affiliate - Partner A,26828,598,19,259.11,774.65,2.99,198.97
2024-01-08,Affiliate,Affiliate - Partner B,12578,138,10,301.17,1093.74,3.632,263.16
2024-01-08,Display,Display - Banner,6413,193,8,539.28,981.32,1.82,81.97
2024-01-08,Display,Display - Native,8113,170,4,545.02,501.41,0.92,-8.0
2024-01-08,Email,Email - Newsletter,4173,146,9,126.49,725.77,5.738,473.78
2024-01-08,Email,Email - Promo,3890,99,5,229.87,1317.77,5.733,473.27
2024-01-08,Organic/SEO,SEO - Blog,184197,1068,82,274.32,1329.9,4.848,384.8
2024-01-08,Organic/SEO,SEO - Landing Pages,140652,3099,137,244.69,1682.54,6.876,587.62
2024-01-08,Paid Search,Search - Brand,311480,4625,141,2250.79,5927.13,2.633,163.34
2024-01-08,Paid Search,Search - Competitor,718747,5859,354,2183.83,6265.49,2.869,186.9
2024-01-08,Paid Search,Search - Generic,24246,685,26,1925.26,5749.55,2.986,198.64
2024-01-08,Paid Social,Social - Lookalike,5787,213,12,722.71,1160.95,1.606,60.64
2024-01-08,Paid Social,Social - Prospecting,63305,654,38,1246.63,2640.81,2.118,111.84
2024-01-08,Paid Social,Social - Retargeting,35772,968,34,1224.62,2866.72,2.341,134.09
2024-01-15,Affiliate,Affiliate - Partner A,32019,361,18,285.93,1075.62,3.762,276.18
2024-01-15,Affiliate,Affiliate - Partner B,19497,628,49,812.19,2926.07,3.603,260.27
2024-01-15,Display,Display - Banner,97536,641,25,530.37,550.57,1.038,3.81
2024-01-15,Display,Display - Native,12217,442,32,1193.14,1633.45,1.369,36.9
2024-01-15,Email,Email - Newsletter,2272,64,2,179.71,1223.11,6.806,580.6
2024-01-15,Email,Email - Promo,1693,64,1,73.62,517.97,7.036,603.57
2024-01-15,Organic/SEO,SEO - Blog,349671,4559,87,250.22,1577.35,6.304,530.39
2024-01-15,Organic/SEO,SEO - Landing Pages,45530,1334,67,303.3,1225.27,4.04,303.98
2024-01-15,Paid Search,Search - Brand,91953,1319,43,2394.3,6477.13,2.705,170.52
2024-01-15,Paid Search,Search - Competitor,56189,1603,47,1038.42,2785.22,2.682,168.22
2024-01-15,Paid Search,Search - Generic,134551,4564,331,1685.14,4876.71,2.894,189.39
2024-01-15,Paid Social,Social - Lookalike,33987,516,23,1731.55,3217.64,1.858,85.82
2024-01-15,Paid Social,Social - Prospecting,62821,551,40,1523.19,5271.39,3.461,246.08
2024-01-15,Paid Social,Social - Retargeting,24690,444,30,922.3,1679.44,1.821,82.09
2024-01-22,Affiliate,Affiliate - Partner A,24189,362,7,300.71,988.94,3.289,228.87
2024-01-22,Affiliate,Affiliate - Partner B,52913,588,8,280.84,780.99,2.781,178.09
2024-01-22,Display,Display - Banner,6417,227,11,509.38,629.05,1.235,23.49
2024-01-22,Display,Display - Native,7946,281,11,671.31,637.24,0.949,-5.08
2024-01-22,Email,Email - Newsletter,1220,41,0,111.96,471.64,4.213,321.26
2024-01-22,Email,Email - Promo,2539,86,2,66.64,341.98,5.132,413.18
2024-01-22,Organic/SEO,SEO - Blog,91570,1477,66,277.34,2139.75,7.715,671.53
2024-01-22,Organic/SEO,SEO - Landing Pages,489586,5558,147,362.5,2042.37,5.634,463.41
2024-01-22,Paid Search,Search - Brand,14255,440,8,1139.62,3456.4,3.033,203.29
2024-01-22,Paid Search,Search - Competitor,42362,1583,18,1926.87,7454.48,3.869,286.87
2024-01-22,Paid Search,Search - Generic,41330,642,28,1010.38,3480.01,3.444,244.43
2024-01-22,Paid Social,Social - Lookalike,76873,2616,172,1698.67,4398.47,2.589,158.94
2024-01-22,Paid Social,Social - Prospecting,217415,2155,84,1377.28,3451.39,2.506,150.59
2024-01-22,Paid Social,Social - Retargeting,17917,594,25,1952.72,6885.5,3.526,252.61
2024-01-29,Affiliate,Affiliate - Partner A,42505,354,21,802.5,2355.5,2.935,193.52
2024-01-29,Affiliate,Affiliate - Partner B,9076,350,23,259.15,547.84,2.114,111.4
2024-01-29,Display,Display - Banner,25545,467,27,630.76,1037.94,1.646,64.55
2024-01-29,Display,Display - Native,8015,175,5,567.19,1032.3,1.82,82.0
2024-01-29,Email,Email - Newsletter,2292,76,3,183.86,1331.87,7.244,624.39
2024-01-29,Email,Email - Promo,6454,78,4,208.23,1000.04,4.803,380.26
2024-01-29,Organic/SEO,SEO - Blog,22224,847,23,278.1,2020.41,7.265,626.5
2024-01-29,Organic/SEO,SEO - Landing Pages,94768,1042,51,277.02,1577.53,5.695,469.46
2024-01-29,Paid Search,Search - Brand,111393,749,27,1223.96,4879.53,3.987,298.67
2024-01-29,Paid Search,Search - Competitor,7712,303,20,968.49,3548.28,3.664,266.37
2024-01-29,Paid Search,Search - Generic,83447,569,42,1690.38,4469.02,2.644,164.38
2024-01-29,Paid Social,Social - Lookalike,27104,531,13,973.05,2118.19,2.177,117.69
